Id_bien;id_codedep_codecommune;No_voie;BTQ;Type_voie;Voie;Total_piece;Surface_carrez;Surface_local;Type_local
27944;33203;;;IMP;DE L ESQUIF;1;19,1;19;Appartement
27945;33214;9001;;;LE DOMAINE DU GOLF II;2;32,06;31;Appartement
27946;33229;13;;AV;DE LA LIBERATION;2;42,9;48;Appartement
27947;33240;7;;RUE;PASTEUR;3;57,67;63;Appartement
27948;33318;11;;ALL;DES TULIPES;2;36,66;36;Appartement
27949;33514;2;;RUE;JEANNE D ARC;3;62,11;56;Appartement
27950;33514;29;F;RUE;MAQUIS DES VIGNES OUDIDES;2;17,73;18;Appartement
27951;34003;7;;RUE;DE LA CONQUE;2;26,02;25;Appartement
27952;34108;34;;RUE;EMILIEN BARAT;3;56,84;58;Appartement
27953;34108;9018;;AV;ALBERT SCHWEITZER;3;111,12;80;Appartement
27954;34142;8;;PL;OCTROI DE BEDARIEUX;3;46,15;46;Appartement
27955;34154;9001;;;LES PTS VOILIERS CARNON;1;20,96;22;Appartement
27956;34172;101;;RUE;DE LA PENICHE;4;87;77;Maison
27957;34192;7;;AV;DES JOCKEYS;2;44,82;45;Appartement
27958;34301;24;;RUE;ARAGO;4;44,96;44;Appartement
27959;34301;59;;RUE;PAUL BOUSQUET;2;31,32;33;Appartement
27960;34344;701;;RUE;DES NAVIGATEURS;2;28,86;29;Appartement
27961;34344;9018;;TSSE;DE LA MER;2;25,57;25;Appartement
27962;35095;26;A;RUE;DE PARIS;4;85;80;Appartement
27963;35136;5;;ALL;DE L YVE;4;70,55;69;Appartement
27964;35196;9;;RUE;DES ACACIAS;2;50,6;50;Appartement
27965;35196;1;;ALL;DES ALCHEMILLES;2;40,93;40;Appartement
27966;35238;15;;AV;JEAN JANVIER;3;61,09;59;Appartement
27967;35288;1;;RUE;GRAND PORT;1;29,89;28;Appartement
27968;37050;34;;RUE;DES POMMIERS;2;34,59;38;Appartement
27969;37214;4;;RUE;CLAUDE GRIVEAU;2;45,88;42;Appartement
27970;37261;52;B;AV;ANDRE MAGINOT;2;43,2;43;Appartement
27971;37261;30;;RUE;D AMBOISE;2;42,05;41;Appartement
27972;38002;5257;;;COMMUNAL DE L ENVERS PRAPO;1;22,31;22;Appartement
27973;38020;20;;RUE;DE PIEGUT;2;27,12;30;Appartement
27974;38185;12;;RUE;SAINT FRANCOIS;1;21,12;20;Appartement
27975;38185;107;;AV;LEON BLUM;4;58,74;57;Appartement
27976;38421;2;;RUE;SARAH BERNHARDT;4;71,64;70;Appartement
27977;38474;12;;RUE;JEAN MOULIN;3;68,25;67;Appartement
27978;38501;135;;ALL;DES CHEVALIERS;2;41,91;41;Appartement
27979;39097;2;;RUE;GEORGES VALLEREY;2;47,28;48;Appartement
27980;40046;459;;AV;DE L AVIATION;1;44,06;45;Appartement
27981;40088;28;;AV;DE L AERODROME;4;95,46;87;Maison
27982;40187;356;;RUE;BREMONTIER;2;41,8;42;Appartement
27983;40310;1;;AV;DE LA PETRE;3;47,78;48;Maison
27984;41018;10;;RUE;DENIS PAPIN;3;70,38;73;Appartement
27985;42218;6;;RUE;LEON NAUTIN;2;51,59;50;Appartement
27986;42218;7;;RUE;PAUL RONIN;2;58,67;56;Appartement
27987;42218;104;;CRS;FAURIEL;3;85,18;65;Appartement
27988;42218;56;;RUE;ROBESPIERRE;3;52,47;59;Appartement
27989;43157;52;;BD;ST LOUIS;1;34,77;41;Appartement
27990;44010;14;;RTE;DE SAINT NUDEC;2;31,25;30;Appartement
27991;44025;15;;PL;DE L EGLISE;4;74,65;89;Appartement
27992;44026;6;;RUE;NICOLAS COPERNIC;2;47,12;57;Appartement
27993;44109;41;;RUE;BOUGAINVILLE;1;17,45;20;Appartement
27994;44109;9;;RUE;ETIENNE DOLET;1;23,76;25;Appartement
27995;44109;2;;RUE;ROGER FRISON ROCHE;3;64,05;64;Appartement
27996;44116;20;;RUE;PIERRE JUBAU;1;105,28;38;Appartement
27997;44135;9;;RUE;DE L EGLISE;6;108,3;153;Appartement
27998;44135;9022;;AV;DES CELTES;3;43,84;49;Maison
27999;44143;1;T;AV;DE BRETAGNE;3;59,73;65;Appartement
28000;44162;10;;RUE;D EVREUX;5;151,02;102;Maison
28001;44162;7;;RUE;DE MORLAIX;4;74,54;75;Appartement
28002;44184;10;;AV;DE LA REPUBLIQUE;2;58,65;59;Appartement
28003;44184;17;;RUE;DU PORT;5;126,85;108;Appartement
28004;44201;44;;QUAI;DE CRICKLADE;1;23,56;18;Appartement
28005;45234;56;;RUE;BRISE PAIN;1;27,36;35;Appartement
28006;49007;7;;RUE;DESJARDINS;1;30,2;30;Appartement
28007;49007;25;;RUE;DELAAGE;3;55,81;51;Appartement
28008;49007;8;;RUE;GARNIER;1;20,91;20;Appartement
28009;49015;47;;ALL;AIME BONPLAND;3;63,55;63;Appartement
28010;49015;9001;;;LA PLESSE;4;80,05;78;Appartement
28011;49328;14;;RUE;GEORGES GIRARD;4;83,75;85;Appartement
28012;51108;44;;CHE;DU PERTHUIS;2;22,31;23;Appartement
28013;51454;31;;RUE;DE L ECU;3;74,86;79;Appartement
28014;51454;25;;RUE;DE TALLEYRAND;1;26,82;26;Appartement
28015;51454;66;;RUE;DE VESLE;1;13,78;13;Appartement
28016;51454;7;;ALL;COPERNIC;5;90,81;90;Maison
28017;51573;3;;GR;GRANDE RUE;3;92,3;92;Appartement
28018;51649;53;;AV;DU COLONEL MOLL;2;46,62;52;Appartement
28019;54261;30;;RUE;DU PONT SAINT JULES;3;74,33;72;Appartement
28020;54322;26;;RUE;STE ANNE DE BEAUPRE;4;70,87;72;Appartement
28021;54323;27;;RUE;SAINT LOUIS;3;59,03;59;Appartement
28022;54395;14;;COUR;DES ARTS;3;105,25;107;Appartement
28023;54395;10;;RUE;DES DOMINICAINS;3;77,46;81;Appartement
28024;54395;45;;RUE;VERLAINE;3;70,76;71;Appartement
28025;54395;27;;AV;DE BOUFFLERS;2;38;40;Appartement
28026;54395;3;;RUE;DU HAUT DE CHEVRE;2;45,43;46;Appartement
