product_id;onsale_web;price;stock_quantity;stock_status;purchase_price
4933;1;18,4;24;instock;9,22
4934;1;22,2;28;instock;11,93
4936;1;11,1;25;instock;5,68
4937;1;9,9;26;instock;4,86
4938;1;12,5;32;instock;6,46
4939;1;12,9;23;instock;6,53
4940;1;20,5;39;instock;11,02
4954;1;25;23;instock;13,3
4962;1;11,3;23;instock;5,55
4963;1;7;41;instock;3,44
4964;1;12,1;23;instock;6,5
4965;1;7,1;24;instock;3,67
4970;1;49,5;100;instock;28,59
4973;0;10;-10;outofstock;4,96
4974;1;23;10;instock;12,12
4975;1;23,7;19;instock;12,73
4976;1;16,45;0;outofstock;8,07
4977;1;16,3;31;instock;8,84
4978;1;18,5;23;instock;9,46
4980;1;26,5;18;instock;14,1
4994;1;78;11;instock;40,7
4995;1;78;6;instock;42,32
4996;1;78;6;instock;40,7
5000;1;27,3;26;instock;14,53
5001;1;217,5;18;instock;116,87
5002;1;64,9;4;instock;34,54
5003;1;48,7;4;instock;24,16
5004;1;59,4;4;instock;29,77
5006;1;48,7;5;instock;24,91
5007;1;105;15;instock;55,88
5008;1;105;12;instock;56,42
5010;1;55,6;6;instock;30,16
5016;1;9,3;40;instock;4,81
5017;0;-8;0;outofstock;4,34
5018;0;15,4;0;outofstock;7,72
5019;1;19,8;45;instock;10,43
5020;0;10;0;outofstock;5,27
5021;0;17,1;0;outofstock;8,92
5024;1;45;103;instock;27,04
5025;1;112;136;instock;68,6
5026;1;86,8;101;instock;50,13
5027;1;62,1;79;instock;38,04
5047;1;22,5;76;instock;13,78
5056;1;7,5;27;instock;3,95
5061;1;52,6;5;instock;27,99
5062;1;45;12;instock;23,25
5063;1;67;1;instock;33,92
5067;1;59,9;3;instock;30,95
5068;1;59,9;6;instock;32,5
5069;1;65;14;instock;35,26
5070;1;84,7;0;outofstock;47,43
5075;1;43,3;0;outofstock;21,7
5375;1;15,2;41;instock;8,09
5377;1;19;39;instock;10,01
5379;1;11,1;33;instock;5,68
5380;1;18;27;instock;9,77
5382;1;22,8;30;instock;11,54
5383;1;19,5;10;instock;10,18
5384;1;28,8;0;outofstock;15,18
5389;1;16,1;23;instock;8,32
5391;1;24,2;34;instock;13
5393;1;35,3;7;instock;18,06
5394;1;10,7;29;instock;5,25
5395;1;12,7;24;instock;6,82
5396;1;17,1;14;instock;8,48
5397;1;24;24;instock;12,4
5398;1;39;8;instock;21,16
5439;1;13,2;46;instock;6,68
5443;1;23,6;32;instock;12,56
5444;1;15,5;40;instock;7,69
5445;1;16,3;18;instock;8
5446;1;16,2;28;instock;8,29
5448;1;7,2;42;instock;3,76
5465;1;54,8;12;instock;28,6
5474;1;42;11;instock;22,57
5477;1;19,8;18;instock;10,43
5479;1;10,2;38;instock;5,16
5480;1;10,4;23;instock;5,21
5481;1;11,5;25;instock;5,64
5483;1;17,9;31;instock;9,71
5484;1;21,6;25;instock;11,61
5485;1;33,4;14;instock;16,57
5486;1;49,5;9;instock;26,09
5487;1;43,5;0;outofstock;23,37
5488;1;43,5;11;instock;22,7
5491;1;26,5;18;instock;13,01
5504;1;13,8;19;instock;6,77
5505;0;10,1;0;outofstock;5,22
5506;1;18,2;24;instock;9,59
5519;1;12,9;35;instock;7
5520;1;38,6;12;instock;19,15
5522;1;48,4;8;instock;26,26
5523;1;60,4;9;instock;31,83
5524;1;38,6;9;instock;19,74
5525;1;12;23;instock;6,26
5544;1;61,6;0;outofstock;31,51
5545;1;65,9;13;instock;32,35
5546;1;15,2;18;instock;7,93
