Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","356","India","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1407563.842","X","Figure from international organizations",""
"OA","Annual population","360","Indonesia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","273753.191","X","Figure from international organizations",""
"OA","Annual population","364","Iran (Islamic Republic of)","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","87923.432","X","Figure from international organizations",""
"OA","Annual population","368","Iraq","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","43533.592","X","Figure from international organizations",""
"OA","Annual population","372","Ireland","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","4986.526","X","Figure from international organizations",""
"OA","Annual population","833","Isle of Man","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","84.263","X","Figure from international organizations",""
"OA","Annual population","376","Israel","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","8900.059","X","Figure from international organizations",""
"OA","Annual population","380","Italy","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","59240.329","X","Figure from international organizations",""
"OA","Annual population","388","Jamaica","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2827.695","X","Figure from international organizations",""
"OA","Annual population","392","Japan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","124612.53","X","Figure from international organizations",""
"OA","Annual population","400","Jordan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","11148.278","X","Figure from international organizations",""
"OA","Annual population","398","Kazakhstan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","19196.465","X","Figure from international organizations",""
"OA","Annual population","404","Kenya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","53005.614","X","Figure from international organizations",""
"OA","Annual population","296","Kiribati","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","128.874","X","Figure from international organizations",""
"OA","Annual population","414","Kuwait","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","4250.114","X","Figure from international organizations",""
"OA","Annual population","417","Kyrgyzstan","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","6527.743","X","Figure from international organizations",""
"OA","Annual population","418","Lao People's Democratic Republic","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","7425.057","X","Figure from international organizations",""
"OA","Annual population","428","Latvia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","1873.919","X","Figure from international organizations",""
"OA","Annual population","422","Lebanon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5592.631","X","Figure from international organizations",""
"OA","Annual population","426","Lesotho","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","2281.454","X","Figure from international organizations",""
"OA","Annual population","430","Liberia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","5193.416","X","Figure from international organizations",""
"OA","Annual population","434","Libya","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","6735.277","X","Figure from international organizations",""
