Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","620","Portugal","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.583","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","634","Qatar","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.679","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","410","Republic of Korea","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.188","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","498","Republic of Moldova","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.746","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","642","Romania","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.945","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","643","Russian Federation","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.98","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","646","Rwanda","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.919","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","659","Saint Kitts and Nevis","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.716","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","662","Saint Lucia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.848","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","670","Saint Vincent and the Grenadines","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.78","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","678","Sao Tome and Principe","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.015","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","682","Saudi Arabia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.031","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","686","Senegal","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.377","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","688","Serbia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.998","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","690","Seychelles","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","1.088","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","694","Sierra Leone","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.754","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","702","Singapore","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.611","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","534","Sint Maarten (Dutch part)","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.864","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","703","Slovakia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.667","E","Estimated value"
"CAHD","Cost and Affordability of a Healthy Diet (CoAHD)","705","Slovenia","6226","Value","7008","Cost of animal source foods","2017","2017","PPP dollar per person per day","0.698","E","Estimated value"
